service_id,date,exception_type
S1,20210101,2
S1,20210111,2
S1,20210211,2
S1,20210223,2
S1,20210429,2
S1,20210503,2
S1,20210504,2
S1,20210505,2
S2,20210101,1
S2,20210111,1
S2,20210211,1
S2,20210223,1
S2,20210429,1
S2,20210503,1
S2,20210504,1
S2,20210505,1
S4,20201230,2
S4,20201231,2
S4,20210101,2
S4,20210111,2
S4,20210211,2
S4,20210223,2
S4,20210429,2
S4,20210503,2
S4,20210504,2
S4,20210505,2
S4,20230223,2
S4,20230321,2
S4,20230503,2
S4,20230504,2
S4,20230505,2
S4,20230717,2
S4,20230811,2
S4,20230814,1
S4,20230815,1
S4,20230816,1
S4,20230918,2
S4,20231009,2
S4,20231103,2
S4,20231123,2
S4,20231229,2
S4,20240101,2
S4,20240102,2
S4,20240103,2
S4,20240108,2
S4,20240212,2
S4,20240223,2
S4,20240320,2
S4,20240429,2
S4,20240503,2
S4,20240506,2
S4,20240715,2
S4,20240812,2
S4,20240813,1
S4,20240814,1
S4,20240815,1
S4,20240816,1
S4,20240916,2
S4,20240923,2
S4,20241014,2
S4,20241104,2
S4,20241230,2
S4,20241231,2
S4,20250101,2
S4,20250102,2
S4,20250103,2
S4,20250113,2
S4,20250211,2
S4,20250224,2
S4,20250320,2
S4,20250429,2
S4,20250505,2
S4,20250506,2
S4,20250721,2
S4,20250811,2
S4,20250813,1
S4,20250814,1
S4,20250815,1
S4,20250915,2
S4,20250923,2
S4,20251013,2
S4,20251103,2
S4,20251124,2
S4,20251229,2
S4,20251230,2
S4,20251231,2
S4,20260101,2
S4,20260102,2
S4,20260103,2
S4,20260112,2
S4,20260211,2
S4,20260223,2
S4,20260320,2
S5,20201230,2
S5,20201231,2
S5,20210101,2
S5,20210111,2
S5,20210211,2
S5,20210223,2
S5,20210429,2
S5,20210503,2
S5,20210504,2
S5,20210505,2
S5,20230223,2
S5,20230321,2
S5,20230503,2
S5,20230504,2
S5,20230505,2
S5,20230717,2
S5,20230811,2
S5,20230814,2
S5,20230815,2
S5,20230816,2
S5,20230918,2
S5,20231009,2
S5,20231103,2
S5,20231123,2
S5,20240101,2
S5,20240102,2
S5,20240103,2
S5,20240108,2
S5,20240212,2
S5,20240223,2
S5,20240320,2
S5,20240429,2
S5,20240503,2
S5,20240506,2
S5,20240715,2
S5,20240812,2
S5,20240813,2
S5,20240814,2
S5,20240815,2
S5,20240816,2
S5,20240916,2
S5,20240923,2
S5,20241014,2
S5,20241104,2
S5,20241230,2
S5,20241231,2
S5,20250101,2
S5,20250102,2
S5,20250103,2
S5,20250113,2
S5,20250211,2
S5,20250224,2
S5,20250320,2
S5,20250429,2
S5,20250505,2
S5,20250506,2
S5,20250721,2
S5,20250811,2
S5,20250813,2
S5,20250814,2
S5,20250815,2
S5,20250915,2
S5,20250923,2
S5,20251013,2
S5,20251103,2
S5,20251124,2
S5,20251230,2
S5,20251231,2
S5,20260101,2
S5,20260102,2
S5,20260103,2
S5,20260112,2
S5,20260211,2
S5,20260223,2
S5,20260320,2
